data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,4.0,4,5,4,0.3442165,2.5338266,0,1,290070220255320503,2026-02-19,,0.77562755,157864,23.8208714285714,88.8587571428571,0,0,0,68.7143142857143,42.0517571428571,27.5757285714286,33.0299857142857,3.0,,,,,6024
2025-12-21,202552,2.0,2,3,2,0.03239218,1.2669133,0,1,290070220255220503,2026-02-19,,0.2800932,157864,21.7517714285714,91.7974571428571,0,0,0,70.9617142857143,46.4122571428571,25.3984428571429,30.0251714285714,2.0,,,,,6024
2025-12-14,202551,4.0,4,5,4,0.19347593,2.5338266,0,1,290070220255120503,2026-02-19,,0.5966345,157864,22.0794714285714,92.2249571428571,0,0,0,71.6010571428571,46.0856428571429,25.5672571428571,30.3280571428571,1.0,,,,,6024
2025-12-07,202550,10.0,10,11,10,0.89977014,6.3345666,0,1,290070220255020503,2026-02-19,,1.9257677,157864,22.4031285714286,91.8541714285714,0,0,1,71.3218428571429,44.6065571428571,25.9137571428571,30.998,4.0,,,,,6024
2025-11-30,202549,8.0,8,8,8,0.7844521,5.067653,0,1,290070220254920503,2026-02-19,,1.5277103,157864,22.9776285714286,91.4387285714286,0,0,1,75.1575714285714,52.5963,25.8608,30.1799571428571,3.0,,,,,6024
2025-11-23,202548,2.0,2,2,2,0.03527517,1.2669133,0,1,290070220254820503,2026-02-19,,0.28595132,157864,22.7733,93.6096857142857,0,0,0,78.332,57.8195571428571,25.4278,29.2844714285714,2.0,,,,,6024
2025-11-16,202547,7.0,7,7,7,0.22912432,4.4341965,0,1,290070220254720503,2026-02-19,,0.70191306,157864,22.2466,94.3014,0,0,1,78.3725428571429,57.2196428571429,25.2116714285714,29.4670142857143,2.0,,,,,6024
2025-11-09,202546,3.0,3,3,3,0.0070372205,1.9003699,0,1,290070220254620503,2026-02-19,,0.25319272,157864,21.3663,94.1888857142857,0,0,0,74.9776857142857,50.0987428571429,24.7986428571429,29.5588571428571,1.0,,,,,6024
2025-11-02,202545,14.0,14,14,14,0.6177695,8.868393,0,1,290070220254520503,2026-02-19,,1.1215543,157864,21.8210714285714,93.1180857142857,0,0,1,74.6062714285714,49.4710285714286,25.3853714285714,30.5803142857143,4.0,,,,,6024
2025-10-26,202544,10.0,10,10,10,0.39624894,6.3345666,0,1,290070220254420503,2026-02-19,,0.8939059,157864,20.4076285714286,95.3670428571429,0,0,1,79.2980714285714,60.8548285714286,23.5800571428571,27.4575,4.0,,,,,6024
2025-10-19,202543,15.0,15,15,15,0.87996185,9.50185,0,1,290070220254320503,2026-02-19,,1.60737,157864,20.8005571428571,94.8469571428571,1,0,1,83.7927571428571,67.4185857142857,23.0096714285714,26.4140285714286,4.0,,,,,6024
2025-10-12,202542,12.0,12,12,12,0.72660786,7.6014795,0,1,290070220254220503,2026-02-19,,1.2933052,157864,21.2605,93.0917,0,0,1,73.8348857142857,49.9623857142857,24.6544857142857,29.2503571428571,2.0,,,,,6024
2025-10-05,202541,7.0,7,7,7,0.20570295,4.4341965,0,1,290070220254120503,2026-02-19,,0.67790323,157864,20.2458714285714,94.3438,0,0,1,76.2011,52.8443857142857,23.6323714285714,28.0062,1.0,,,,,6024
2025-09-28,202540,9.0,9,9,9,0.3659999,5.70111,0,1,290070220254020503,2026-02-19,,0.8588983,157864,19.9671857142857,85.3629571428571,0,0,1,70.2059571428571,53.6107,22.6755285714286,26.0131714285714,5.0,,,,,6024
2025-09-21,202539,11.0,11,11,11,0.590908,6.9680233,0,1,290070220253920503,2026-02-19,,1.1034898,157864,20.8370142857143,93.6608,0,0,1,76.4396,52.8294428571429,23.6746571428571,27.7231857142857,5.0,,,,,6024
2025-09-14,202538,12.0,12,12,12,0.59848505,7.6014795,0,1,290070220253820503,2026-02-19,,1.1080198,157864,19.6534857142857,94.0763,0,0,1,75.9194285714286,54.1732571428571,23.0835,27.1844571428571,4.0,,,,,6024
2025-09-07,202537,8.0,8,8,8,0.1817222,5.067653,0,1,290070220253720503,2026-02-19,,0.66879797,157864,18.9461571428571,93.9183142857143,0,0,1,77.1388857142857,56.8480714285714,22.5235571428571,26.5394142857143,1.0,,,,,6024
2025-08-31,202536,10.0,10,10,10,0.38275257,6.3345666,0,1,290070220253620503,2026-02-19,,0.88098526,157864,19.4821714285714,93.1252,1,0,1,80.7647142857143,64.6031428571429,22.0760714285714,25.5075571428571,1.0,,,,,6024
2025-08-24,202535,15.0,15,15,15,0.73445046,9.50185,0,1,290070220253520503,2026-02-19,,1.269988,157864,19.0753571428571,96.0563285714286,0,0,1,79.9588714285714,59.5193142857143,22.2998285714286,26.0628571428571,2.0,,,,,6024
2025-08-17,202534,11.0,11,11,11,0.22221379,6.9680233,0,1,290070220253420503,2026-02-19,,0.74246037,157864,18.7979285714286,92.7680428571429,0,0,1,78.8207285714286,60.9400428571429,21.5201714285714,24.9985285714286,4.0,,,,,6024
2025-08-10,202533,7.0,7,7,7,0.020381492,4.4341965,0,1,290070220253320503,2026-02-19,,0.42133483,157864,20.2257428571429,96.7779714285714,0,0,1,81.5386142857143,61.1781857142857,22.9673714285714,26.8164714285714,0.0,,,,,6024
2025-08-03,202532,19.0,19,19,19,0.698564,12.035676,0,1,290070220253220503,2026-02-19,,1.1903092,157864,19.0570857142857,91.7565857142857,0,0,1,76.7387857142857,57.6087,22.2446142857143,25.9535285714286,2.0,,,,,6024
2025-07-27,202531,16.0,16,16,16,0.63880897,10.135306,0,1,290070220253120503,2026-02-19,,1.136437,157864,19.0508285714286,95.2827285714286,0,0,1,79.4032142857143,58.8313285714286,22.1193285714286,25.8758142857143,4.0,,,,,6024
2025-07-20,202530,19.0,19,19,19,0.8452825,12.035676,0,2,290070220253020503,2026-02-19,,1.4272504,157864,19.0684857142857,96.8222428571429,1,0,1,84.3769142857143,67.8580428571429,21.8685285714286,25.0443,3.0,,,,,6024
2025-07-13,202529,11.0,11,11,11,0.40987575,6.9680233,0,2,290070220252920503,2026-02-19,,0.910996,157864,19.0521571428571,95.6158428571429,1,0,1,86.3452571428571,72.8073428571429,21.2494428571429,24.1964,1.0,,,,,6024
2025-07-06,202528,14.0,14,14,14,0.8362869,8.868393,0,2,290070220252820503,2026-02-19,,1.4946477,157864,18.8483571428571,95.0340285714286,1,0,1,85.7069714285714,73.4867857142857,21.1206714285714,23.8311285714286,0.0,,,,,6024
2025-06-29,202527,15.0,15,15,15,0.93241894,9.50185,0,2,290070220252720503,2026-02-19,,1.8701643,157864,19.6919,93.5817857142857,1,0,1,83.0836,68.7286,21.9651714285714,24.7497714285714,1.0,,,,,6024
2025-06-22,202526,7.0,7,7,7,0.2961926,4.4341965,0,2,290070220252620503,2026-02-19,,0.77016413,157864,20.1342571428571,96.6727857142857,1,0,1,86.6447571428571,71.1377714285714,22.6313142857143,26.0587571428571,1.0,,,,,6024
2025-06-15,202525,7.0,7,7,7,0.2022609,4.4341965,0,2,290070220252520503,2026-02-19,,0.67434776,157864,19.9800857142857,92.2083428571429,1,0,1,84.8557142857143,73.1184714285714,22.0244142857143,24.4878285714286,0.0,,,,,6024
2025-06-08,202524,8.0,8,8,8,0.25141102,5.067653,0,2,290070220252420503,2026-02-19,,0.7381185,157864,20.3574428571429,96.899,1,0,1,85.2014857142857,68.5362428571429,22.7794857142857,25.7955,0.0,,,,,6024
2025-06-01,202523,14.0,14,14,14,0.5824771,8.868393,0,2,290070220252320503,2026-02-19,,1.0822461,157864,21.1663857142857,96.1692,1,0,1,86.3389714285714,70.7188857142857,23.3028428571429,26.3077714285714,2.0,,,,,6024
2025-05-25,202522,7.0,7,7,7,0.043893766,4.4341965,0,2,290070220252220503,2026-02-19,,0.47587284,157864,21.0991428571429,95.8845142857143,1,0,1,83.9353571428571,67.1999428571429,23.5252285714286,26.7341571428571,1.0,,,,,6024
2025-05-18,202521,13.0,13,13,13,0.44576922,8.234937,0,2,290070220252120503,2026-02-19,,0.94935477,157864,20.9715285714286,94.4222571428571,1,0,1,85.3267142857143,74.1464428571429,23.3004571428571,26.2410714285714,2.0,,,,,6024
2025-05-11,202520,19.0,19,19,19,0.8869451,12.035676,0,1,290070220252020503,2026-02-19,,1.5396526,157864,21.5245428571429,97.2470857142857,1,0,1,88.6577142857143,75.9888142857143,23.2938571428571,25.9288142857143,6.0,,,,,6024
2025-05-04,202519,12.0,12,12,12,0.48786527,7.6014795,0,1,290070220251920503,2026-02-19,,0.9879044,157864,22.0907714285714,97.3834,1,0,1,89.9327857142857,78.7492714285714,23.7785428571429,26.2176,4.0,,,,,6024
2025-04-27,202518,12.0,12,12,12,0.44145402,7.6014795,0,1,290070220251820503,2026-02-19,,0.94340056,157864,22.8270571428571,94.5190714285714,0,0,1,78.6440571428571,58.2340857142857,25.8969428571429,29.9464428571429,4.0,,,,,6024
2025-04-20,202517,12.0,12,12,12,0.46456495,7.6014795,0,1,290070220251720503,2026-02-19,,0.96523976,157864,22.8285857142857,94.2472714285714,0,0,1,77.6667571428572,53.9928571428571,26.1897714285714,30.8533571428571,3.0,,,,,6024
2025-04-13,202516,12.0,12,12,12,0.6722842,7.6014795,0,1,290070220251620503,2026-02-19,,1.2059747,157864,23.3969571428571,93.3496571428571,0,0,1,72.6499714285714,46.8534285714286,27.2192142857143,32.3565428571429,2.0,,,,,6024
2025-04-06,202515,16.0,16,16,16,0.9489972,10.135306,0,1,290070220251520503,2026-02-19,,1.9572365,157864,23.1104857142857,91.2957142857143,0,0,1,72.3163142857143,50.3465142857143,26.6778428571429,31.0304285714286,2.0,,,,,6024
2025-03-30,202514,9.0,9,9,9,0.5408463,5.70111,0,1,290070220251420503,2026-02-19,,1.0489388,157864,23.1443285714286,92.3464428571429,0,0,1,71.0194714285714,45.0918571428571,26.9377,31.8264142857143,3.0,,,,,6024
2025-03-23,202513,5.0,5,5,5,0.14161427,3.1672833,0,1,290070220251320503,2026-02-19,,0.56531227,157864,22.4893857142857,93.6459571428571,0,0,1,72.1549,44.8909857142857,26.6527714285714,31.9874571428571,1.0,,,,,6024
2025-03-16,202512,11.0,11,11,11,0.7131464,6.9680233,0,1,290070220251220503,2026-02-19,,1.2839267,157864,23.4494571428571,92.0695285714286,0,0,1,73.3227428571429,49.7219,26.7794428571429,31.3183571428571,3.0,,,,,6024
2025-03-09,202511,8.0,8,8,8,0.33579892,5.067653,0,1,290070220251120503,2026-02-19,,0.8211386,157864,22.4137714285714,94.1646285714286,0,0,1,73.1886,47.3247857142857,26.2952285714286,31.1559571428571,4.0,,,,,6024
2025-03-02,202510,10.0,10,10,10,0.28700656,6.3345666,0,1,290070220251020503,2026-02-19,,0.792298,157864,22.2924857142857,93.8892,0,0,1,78.1200714285714,59.1945714285714,25.3263142857143,29.1901571428571,3.0,,,,,6024
2025-02-23,202509,4.0,4,4,4,0.01224516,2.5338266,0,1,290070220250920503,2026-02-19,,0.31441957,157864,22.7346428571429,93.6383,1,0,0,80.655,63.7028285714286,25.4119714285714,28.8972285714286,0.0,,,,,6024
2025-02-16,202508,19.0,19,19,19,0.94242394,12.035676,0,1,290070220250820503,2026-02-19,,1.7909125,157864,22.8283428571429,93.2297857142857,0,0,1,74.9736857142857,54.6353428571429,26.2871571428571,30.3241,6.0,,,,,6024
2025-02-09,202507,12.0,12,12,12,0.79634297,7.6014795,0,1,290070220250720503,2026-02-19,,1.4372965,157864,22.6672714285714,93.7431,0,0,1,74.6799857142857,53.3908,26.2029571428571,30.5522857142857,4.0,,,,,6024
2025-02-02,202506,11.0,11,11,11,0.8440982,6.9680233,0,1,290070220250620503,2026-02-19,,1.606466,157864,22.8176,92.5119428571429,0,0,1,75.2050714285714,56.1076,26.1084285714286,30.2087571428571,3.0,,,,,6024
2025-01-26,202505,8.0,8,8,8,0.7258319,5.067653,0,1,290070220250520495,2026-02-11,,1.3701651,157864,23.1422428571429,92.1246,0,0,1,74.8429714285714,55.5838,26.4655428571429,30.5049428571429,1.0,,,,,6024
